"type","flavor","state","index type","index","year"
"non-metro","all-transactions","Alaska","index_nsa",725.36,2007
"non-metro","all-transactions","Alaska","index_sa",NA,2007
"non-metro","all-transactions","Alaska","index_nsa",727.31,2008
"non-metro","all-transactions","Alaska","index_sa",NA,2008
"non-metro","all-transactions","Alaska","index_nsa",723.84,2009
"non-metro","all-transactions","Alaska","index_sa",NA,2009
"non-metro","all-transactions","Alaska","index_nsa",714.92,2010
"non-metro","all-transactions","Alaska","index_sa",NA,2010
"non-metro","all-transactions","Alaska","index_nsa",729.92,2011
"non-metro","all-transactions","Alaska","index_sa",NA,2011
"non-metro","all-transactions","Alaska","index_nsa",741.75,2012
"non-metro","all-transactions","Alaska","index_sa",NA,2012
"non-metro","all-transactions","Alaska","index_nsa",761.75,2013
"non-metro","all-transactions","Alaska","index_sa",NA,2013
"non-metro","all-transactions","Alaska","index_nsa",774.46,2014
"non-metro","all-transactions","Alaska","index_sa",NA,2014
"non-metro","all-transactions","Alaska","index_nsa",810.07,2015
"non-metro","all-transactions","Alaska","index_sa",NA,2015
"non-metro","all-transactions","Alaska","index_nsa",828.86,2016
"non-metro","all-transactions","Alaska","index_sa",NA,2016
"non-metro","all-transactions","Alaska","index_nsa",846.56,2017
"non-metro","all-transactions","Alaska","index_sa",NA,2017
"non-metro","all-transactions","Alaska","index_nsa",870.84,2018
"non-metro","all-transactions","Alaska","index_sa",NA,2018
"non-metro","all-transactions","Alaska","index_nsa",891.19,2019
"non-metro","all-transactions","Alaska","index_sa",NA,2019
"non-metro","all-transactions","Alaska","index_nsa",921.07,2020
"non-metro","all-transactions","Alaska","index_sa",NA,2020
"non-metro","all-transactions","Alaska","index_nsa",1005.27,2021
"non-metro","all-transactions","Alaska","index_sa",NA,2021
"non-metro","all-transactions","Alaska","index_nsa",552.93,2022
"non-metro","all-transactions","Alaska","index_sa",NA,2022
"non-metro","expanded-data","Alaska","index_nsa",0,1975
"non-metro","expanded-data","Alaska","index_sa",0,1975
"non-metro","expanded-data","Alaska","index_nsa",0,1976
"non-metro","expanded-data","Alaska","index_sa",0,1976
"non-metro","expanded-data","Alaska","index_nsa",0,1977
"non-metro","expanded-data","Alaska","index_sa",0,1977
"non-metro","expanded-data","Alaska","index_nsa",0,1978
"non-metro","expanded-data","Alaska","index_sa",0,1978
"non-metro","expanded-data","Alaska","index_nsa",0,1979
"non-metro","expanded-data","Alaska","index_sa",0,1979
